unnamed: 0,date,temperature,humidity,light,co2,humidityratio,occupancy,co2_rolling_mean,temp_humidity_interaction,light_on
1,04-02-2015 17:51,23.18,27.272,426.0,721.25,0.004792988,1,721.25,632.16496,1
2,04-02-2015 17:51,23.15,27.2675,429.5,714.0,0.004783441,1,717.625,631.242625,1
3,04-02-2015 17:53,23.15,27.245,426.0,713.5,0.004779464,1,716.25,630.7217499999999,1
4,04-02-2015 17:54,23.15,27.2,426.0,708.25,0.004771509,1,711.9166666666666,629.68,1
5,04-02-2015 17:55,23.1,27.2,426.0,704.5,0.004756993,1,708.75,628.32,1
6,04-02-2015 17:55,23.1,27.2,419.0,701.0,0.004756993,1,704.5833333333334,628.32,1
7,04-02-2015 17:57,23.1,27.2,419.0,701.6666667,0.004756993,1,702.3888889,628.32,1
8,04-02-2015 17:57,23.1,27.2,419.0,699.0,0.004756993,1,700.5555555666666,628.32,1
9,04-02-2015 17:58,23.1,27.2,419.0,689.3333333,0.004756993,1,696.6666666666666,628.32,1
10,04-02-2015 18:00,23.075,27.175,419.0,688.0,0.004745351,1,692.1111111,627.063125,1
11,04-02-2015 18:01,23.075,27.15,419.0,690.25,0.004740952,1,689.1944444333334,626.4862499999999,1
12,04-02-2015 18:02,23.1,27.1,419.0,691.0,0.004739371,1,689.75,626.0100000000001,1
13,04-02-2015 18:03,23.1,27.16666667,419.0,683.5,0.004751119,1,688.25,627.550000077,1
14,04-02-2015 18:04,23.05,27.15,419.0,687.5,0.004733732,1,687.3333333333334,625.8075,1
15,04-02-2015 18:04,23.0,27.125,419.0,686.0,0.004714942,1,685.6666666666666,623.875,1
16,04-02-2015 18:06,23.0,27.125,418.5,680.5,0.004714942,1,684.6666666666666,623.875,1
17,04-02-2015 18:07,23.0,27.2,0.0,681.5,0.004728078,0,682.6666666666666,625.6,0
18,04-02-2015 18:08,22.945,27.29,0.0,685.0,0.004727951,0,682.3333333333334,626.16905,0
19,04-02-2015 18:08,22.945,27.39,0.0,685.0,0.004745408,0,683.8333333333334,628.46355,0
20,04-02-2015 18:10,22.89,27.39,0.0,689.0,0.004729506,0,686.3333333333334,626.9571000000001,0
21,04-02-2015 18:10,22.89,27.39,0.0,689.5,0.004729506,0,687.8333333333334,626.9571000000001,0
22,04-02-2015 18:11,22.89,27.39,0.0,689.0,0.004729506,0,689.1666666666666,626.9571000000001,0
23,04-02-2015 18:13,22.89,27.445,0.0,691.0,0.004739076,0,689.8333333333334,628.21605,0
24,04-02-2015 18:14,22.89,27.5,0.0,688.0,0.004748645,0,689.3333333333334,629.475,0
25,04-02-2015 18:15,22.89,27.5,0.0,689.5,0.004748645,0,689.5,629.475,0
26,04-02-2015 18:16,22.79,27.445,0.0,689.0,0.004710224,0,688.8333333333334,625.47155,0
27,04-02-2015 18:16,22.79,27.5,0.0,685.6666667,0.004719735,0,688.0555555666666,626.725,0
28,04-02-2015 18:17,22.79,27.5,0.0,687.0,0.004719735,0,687.2222222333334,626.725,0
29,04-02-2015 18:19,22.79,27.5,0.0,688.0,0.004719735,0,686.8888889,626.725,0
30,04-02-2015 18:20,22.745,27.5,0.0,670.0,0.004706776,0,681.6666666666666,625.4875000000001,0
31,04-02-2015 18:21,22.7,27.46333333,0.0,668.6666667,0.004687543,0,675.5555555666666,623.417666591,0
32,04-02-2015 18:22,22.7,27.5,0.0,670.0,0.004693849,0,669.5555555666666,624.25,0
33,04-02-2015 18:23,22.7,27.5,0.0,667.0,0.004693849,0,668.5555555666666,624.25,0
34,04-02-2015 18:23,22.66666667,27.42666667,0.0,664.5,0.004671708,0,667.1666666666666,621.6711112780889,0
35,04-02-2015 18:24,22.7,27.6,0.0,670.0,0.004711047,0,667.1666666666666,626.52,0
36,04-02-2015 18:26,22.6,27.42666667,0.0,670.3333333,0.004652699,0,668.2777777666666,619.842666742,0
37,04-02-2015 18:27,22.6,27.39,0.0,672.0,0.004646433,0,670.7777777666666,619.014,0
38,04-02-2015 18:28,22.6,27.35666667,0.0,658.0,0.004640736,0,666.7777777666666,618.260666742,0
39,04-02-2015 18:29,22.6,27.445,0.0,660.5,0.004655833,0,663.5,620.2570000000001,0
40,04-02-2015 18:29,22.6,27.42666667,0.0,658.0,0.004652699,0,658.8333333333334,619.842666742,0
41,04-02-2015 18:30,22.6,27.445,0.0,655.0,0.004655833,0,657.8333333333334,620.2570000000001,0
42,04-02-2015 18:32,22.6,27.445,0.0,654.25,0.004655833,0,655.75,620.2570000000001,0
43,04-02-2015 18:33,22.6,27.39,0.0,648.0,0.004646433,0,652.4166666666666,619.014,0
44,04-02-2015 18:34,22.5,27.32333333,0.0,648.6666667,0.004606763,0,650.3055555666666,614.774999925,0
45,04-02-2015 18:35,22.5,27.445,0.0,646.0,0.004627429,0,647.5555555666666,617.5125,0
46,04-02-2015 18:36,22.5,27.5,0.0,646.0,0.004636772,0,646.8888889,618.75,0
47,04-02-2015 18:36,22.5,27.445,0.0,641.5,0.004627429,0,644.5,617.5125,0
48,04-02-2015 18:38,22.39,27.29,0.0,639.0,0.004570212,0,642.1666666666666,611.0231,0
49,04-02-2015 18:39,22.5,27.5,0.0,640.0,0.004636772,0,640.1666666666666,618.75,0
